title,chinese_title,category,original_publish_date,publish_date,source_url,original_file_url,summary
Annual report 2024,2024年年度报告,APIC Publication,13/06/2025,2025-06-13,https://apic.cefic.org/wp-content/uploads/2025/06/APIC-Annual-Report-2024.pdf,https://apic.cefic.org/wp-content/uploads/2025/06/APIC-Annual-Report-2024.pdf,
Nitrosamine Risk Management: Guidance for API Manufacturers,亚硝胺风险管理：原料药生产商指南,APIC Publication,21/05/2025,2025-05-21,https://apic.cefic.org/wp-content/uploads/2025/05/APIC-Nitrosamines-Risk-management_Guidance-for-API-Manufacturers_Final.pdf,https://apic.cefic.org/wp-content/uploads/2025/05/APIC-Nitrosamines-Risk-management_Guidance-for-API-Manufacturers_Final.pdf,
How to do – Interpretation of ICH Q7 Guide,如何操作——ICH Q7指南解读,APIC Publication,21/01/2025,2025-01-21,https://apic.cefic.org/wp-content/uploads/2025/01/ICH-Q7-How-To-Do-version17_cleandocument_241122.pdf,https://apic.cefic.org/wp-content/uploads/2025/01/ICH-Q7-How-To-Do-version17_cleandocument_241122.pdf,
Data Integrity — Frequently Asked Questions (FAQ),数据完整性——常见问题解答（FAQ）,APIC Publication,14/01/2025,2025-01-14,https://apic.cefic.org/wp-content/uploads/2025/01/FAQ-DI-APIC-TF-Version-2-Jan-25-1.pdf,https://apic.cefic.org/wp-content/uploads/2025/01/FAQ-DI-APIC-TF-Version-2-Jan-25-1.pdf,
Report on the risk of potential presence of Nitrosamines impurities,关于潜在存在亚硝胺类杂质的风险报告,APIC Publication,16/12/2024,2024-12-16,https://apic.cefic.org/wp-content/uploads/2024/12/APIC_Template_for_report_on_Nitrosamine_Risk_Evaluation_Update-Dec-2024_V3.docx,https://apic.cefic.org/wp-content/uploads/2024/12/APIC_Template_for_report_on_Nitrosamine_Risk_Evaluation_Update-Dec-2024_V3.docx,
Letter of intent for collaboration between APIs manufacturers ans MAHs on Nitrosamines Drug Substance,API制造商与药品上市许可持有人就亚硝胺类药物活性物质合作的意向书,APIC Publication,01/08/2024,2024-08-01,https://apic.cefic.org/wp-content/uploads/2024/08/Letter-of-intent-APIC.pdf,https://apic.cefic.org/wp-content/uploads/2024/08/Letter-of-intent-APIC.pdf,
Annual Report 2023,2023年年度报告,APIC Publication,16/04/2024,2024-04-16,https://apic.cefic.org/wp-content/uploads/2024/04/APIC-Annual-Report-2023-1.pdf,https://apic.cefic.org/wp-content/uploads/2024/04/APIC-Annual-Report-2023-1.pdf,
Best practices guide for managing suppliers of API manufacturers,API制造商供应商管理最佳实践指南,APIC Publication,19/03/2024,2024-03-19,https://apic.cefic.org/publication/best-practices-guide-for-managing-suppliers-of-api-manufacturers/,https://apic.cefic.org/wp-content/uploads/2024/03/Best-practices-guide-for-managing-suppliers-of-API-manufacturers-Version-2-March-2024.pdf,本文档包含多个文件，请到详情页面下载：https://apic.cefic.org/wp-content/uploads/2024/03/Best-practices-guide-for-managing-suppliers-of-API-manufacturers-Version-2-March-2024.pdf、https://apic.cefic.org/wp-content/uploads/2024/03/Best-practices-guide-for-managing-suppliers-of-API-manufacturers-Annex-2-commitment-declaration-March-2024-version.docx
APIC Quality Agreement guideline & Template,APIC质量协议指南与模板,APIC Publication,13/02/2024,2024-02-13,https://apic.cefic.org/publication/apic-quality-agreement-guideline-template/,https://apic.cefic.org/wp-content/uploads/2024/02/APIC-Quality-Agreement-Guideline-Template-Final-version-January-2024.docx,本文档包含多个文件，请到详情页面下载：https://apic.cefic.org/wp-content/uploads/2024/02/APIC-Quality-Agreement-Guideline-Template-Final-version-January-2024.docx、https://apic.cefic.org/wp-content/uploads/2024/02/PQR-Summary-Template-Example.docx
M7 information to HA and MAH – Templates,M7信息至HA和MAH——模板,APIC Publication,09/05/2023,2023-05-09,https://apic.cefic.org/publication/m7-information-to-ha-and-mah-templates/,https://apic.cefic.org/wp-content/uploads/2023/05/APIC_Template_for_report_on_M7_Evaluation_final_April2023.pdf,本文档包含多个文件，请到详情页面下载：https://apic.cefic.org/wp-content/uploads/2023/05/APIC_Template_for_report_on_M7_Evaluation_final_April2023.pdf、https://apic.cefic.org/wp-content/uploads/2023/05/FINAL_1-Sharing-M7-information-to-MAHHA_How-to-do.pdf
Practical Risk-based Guide for Managing Data Integrity,基于风险的实用数据完整性管理指南,APIC Publication,23/04/2022,2022-04-23,https://apic.cefic.org/publication/practical-risk-based-guide-for-managing-data-integrity/,https://apic.cefic.org/wp-content/uploads/2022/07/DI-Example-9.1-Production-Systems.pdf,本文档包含多个文件，请到详情页面下载：https://apic.cefic.org/wp-content/uploads/2022/07/DI-Example-9.1-Production-Systems.pdf、https://apic.cefic.org/wp-content/uploads/2022/07/DI-Example-9.2-Laboratory-Systems-.pdf、https://apic.cefic.org/wp-content/uploads/2022/07/DI-Example-9.3-WMS-system.pdf、https://apic.cefic.org/wp-content/uploads/2022/07/Data-Integrity-Best-Practices-Guide-for-API-Rev-2-Final-April-2022.pdf、https://apic.cefic.org/wp-content/uploads/2022/04/DI-Example-9.4-Data-audit-trail-Risk-assessment-WMS-and-CDS-system.xlsx
How to do – Interpretation of ICH Q7 Guide,如何操作——ICH Q7指南解读,APIC Publication,14/03/2022,2022-03-14,https://apic.cefic.org/publication/how-to-do-interpretation-of-ich-q7-document-review-form/,https://apic.cefic.org/wp-content/uploads/2022/03/ICH-Q7-How-To-Do-version15_final-version.pdf,本文档包含多个文件，请到详情页面下载：https://apic.cefic.org/wp-content/uploads/2022/03/ICH-Q7-How-To-Do-version15_final-version.pdf、https://apic.cefic.org/wp-content/uploads/2022/03/ICH-Q7-How-To-Do-version16-final-version-published-on-24-oct-22.pdf
Guidance on aspects of cleaning validation in active pharmaceutical ingredient plants,活性药物成分工厂中清洁验证各方面的指导建议,APIC Publication,15/02/2022,2022-02-15,https://apic.cefic.org/wp-content/uploads/2021/09/APIC_Cleaning-validation-guide_2021.pdf,https://apic.cefic.org/wp-content/uploads/2021/09/APIC_Cleaning-validation-guide_2021.pdf,
The APIC Audit Program,APIC审计计划,APIC Publication,17/06/2021,2021-06-17,https://apic.cefic.org/publication/the-apic-audit-program/,https://apic.cefic.org/wp-content/uploads/2021/06/Annex-4-Standardised-Letters-for-Shared-Third-Party-Audits.pdf,本文档包含多个文件，请到详情页面下载：https://apic.cefic.org/wp-content/uploads/2021/06/Annex-4-Standardised-Letters-for-Shared-Third-Party-Audits.pdf、https://apic.cefic.org/wp-content/uploads/2021/06/The-APIC-Audit-Programme-Annex-1_Contract_Auditor_ACI.pdf、https://apic.cefic.org/wp-content/uploads/2021/06/The-APIC-Audit-Programme-Annex-2_Agreement_on-Audit_Execution.pdf、https://apic.cefic.org/wp-content/uploads/2021/06/The-APIC-Audit-Programme-Annex-3_Audit_Secrecy-Agreement-1.pdf、https://apic.cefic.org/wp-content/uploads/2021/06/The-APIC-Audit-Programme-Annex-5_Feedback_Evaluation_Form.pdf、https://apic.cefic.org/wp-content/uploads/2021/10/The-APIC-Audit-Programme-Version-6.pdf
Nitrosamines,亚硝胺,APIC Publication,23/03/2020,2020-03-23,https://apic.cefic.org/publication/nitrosamines/,https://apic.cefic.org/wp-content/uploads/2020/03/APIC_Guidance_on_Nitrosamines_Risk_Assessment-final-18Feb2020.pdf,本文档包含多个文件，请到详情页面下载：https://apic.cefic.org/wp-content/uploads/2020/03/APIC_Guidance_on_Nitrosamines_Risk_Assessment-final-18Feb2020.pdf、https://apic.cefic.org/wp-content/uploads/2020/03/APIC_Template_for_report_on_Nitrosamine_Risk_Evaluation_Update-QA-Rev12_final_211022.docx
Supplier Management,供应商管理,APIC Publication,31/10/2019,2019-10-31,https://apic.cefic.org/publication/supplier-management/,https://apic.cefic.org/wp-content/uploads/2021/10/Appendix1_CRITICAL_NON-CRITICAL_MATERIALS.pdf,本文档包含多个文件，请到详情页面下载：https://apic.cefic.org/wp-content/uploads/2021/10/Appendix1_CRITICAL_NON-CRITICAL_MATERIALS.pdf、https://apic.cefic.org/wp-content/uploads/2021/10/Appendix5.pdf、https://apic.cefic.org/wp-content/uploads/2021/10/GuidelineSupplierQualification_200912_final.pdf、https://apic.cefic.org/wp-content/uploads/2019/10/Appendix2_SupplierS_checklistfinal.xlsx、https://apic.cefic.org/wp-content/uploads/2019/10/Appendix3_Ddiligence_checklist.xls、https://apic.cefic.org/wp-content/uploads/2019/10/Appendix4_SupplierQualityQuestionnaire.doc、https://apic.cefic.org/wp-content/uploads/2021/10/GuidelineSupplierQualification_ContractLabs10Jan2012-4-1.docx、https://apic.cefic.org/wp-content/uploads/2021/10/GuidelineSupplierQualification_ContractLabs10Jan2012-4.docx、https://apic.cefic.org/wp-content/uploads/2021/10/GuidelineSupplierQualification_ContractLabs10Jan2012-6.docx、https://apic.cefic.org/wp-content/uploads/2021/10/GuidelineSupplierQualification_ContractLabs10Jan2012-7.docx、https://apic.cefic.org/wp-content/uploads/2021/10/GuidelineSupplierQualification_ContractLabs10Jan2012-8.docx、https://apic.cefic.org/wp-content/uploads/2021/10/GuidelineSupplierQualification_ContractLabs10Jan2012-9.docx
GDP,GDP,APIC Publication,23/03/2019,2019-03-23,https://apic.cefic.org/publication/gdp/,https://apic.cefic.org/wp-content/uploads/2021/10/APIC-Statement_GDP-March_2019.pdf,本文档包含多个文件，请到详情页面下载：https://apic.cefic.org/wp-content/uploads/2021/10/APIC-Statement_GDP-March_2019.pdf、https://apic.cefic.org/wp-content/uploads/2021/10/GDP_How_to_Do_doc_finalMar_2019.pdf
Guideline Technical Change Control revised,指南技术变更控制已修订,APIC Publication,23/11/2018,2018-11-23,https://apic.cefic.org/wp-content/uploads/2021/10/APIC-Guideline-Technical-Change-Control-revised-Nov2018.pdf,https://apic.cefic.org/wp-content/uploads/2021/10/APIC-Guideline-Technical-Change-Control-revised-Nov2018.pdf,
Audits of RSM Suppliers,RSM供应商审计,APIC Publication,23/10/2018,2018-10-23,https://apic.cefic.org/publication/audits-of-rsm-suppliers/,https://apic.cefic.org/wp-content/uploads/2018/10/Annex-1_AideMemoire-for-RSM-auditing-_February-2018-final-version.pdf,本文档包含多个文件，请到详情页面下载：https://apic.cefic.org/wp-content/uploads/2018/10/Annex-1_AideMemoire-for-RSM-auditing-_February-2018-final-version.pdf、https://apic.cefic.org/wp-content/uploads/2021/10/APIC-RSM-auditing_Feb2018.pdf、https://apic.cefic.org/wp-content/uploads/2018/10/QA_final.docx
APIC Brochure,APIC 产品手册,APIC Publication,23/10/2017,2017-10-23,https://apic.cefic.org/wp-content/uploads/2021/10/APICBrochures_Oct2017final.pdf,https://apic.cefic.org/wp-content/uploads/2021/10/APICBrochures_Oct2017final.pdf,
APIC Auditing Guide,APIC审计指南,APIC Publication,23/10/2016,2016-10-23,https://apic.cefic.org/publication/apic-auditing-guide/,https://apic.cefic.org/wp-content/uploads/2021/10/APIC_CEFIC_AuditingGuideAugust2016.pdf,本文档包含多个文件，请到详情页面下载：https://apic.cefic.org/wp-content/uploads/2021/10/APIC_CEFIC_AuditingGuideAugust2016.pdf、https://apic.cefic.org/wp-content/uploads/2016/10/Annex-1-Pre-Audit_Questionnaire.docx、https://apic.cefic.org/wp-content/uploads/2016/10/Annex-2-Auditing-Guide-Aide-Memoire.docx、https://apic.cefic.org/wp-content/uploads/2016/10/Annex-3-Auditing-Guide-Audit-Report-Template.doc
Guidance on Handling of Insoluble Matters and Foreign Particles in APIs,原料药中不溶性物质与异物颗粒的处理指南,APIC Publication,23/06/2015,2015-06-23,https://apic.cefic.org/wp-content/uploads/2021/10/20150626ForeignParticleGuideline_final.pdf,https://apic.cefic.org/wp-content/uploads/2021/10/20150626ForeignParticleGuideline_final.pdf,
Qualification of existing equipment,现有设备的资质,APIC Publication,23/10/2014,2014-10-23,https://apic.cefic.org/wp-content/uploads/2021/10/Qualification_existing_equipment_final.pdf,https://apic.cefic.org/wp-content/uploads/2021/10/Qualification_existing_equipment_final.pdf,
eCTD How to do Document,eCTD 文档编写指南,APIC Publication,23/07/2014,2014-07-23,https://apic.cefic.org/wp-content/uploads/2021/10/eCTDHowtoDo_final-201407.pdf,https://apic.cefic.org/wp-content/uploads/2021/10/eCTDHowtoDo_final-201407.pdf,
APIC Quick Guide for API Sourcing,API 采购快速指南,APIC Publication,23/10/2012,2012-10-23,https://apic.cefic.org/wp-content/uploads/2021/10/APIC_Quick_GuideforAPISourcing_200809final.pdf,https://apic.cefic.org/wp-content/uploads/2021/10/APIC_Quick_GuideforAPISourcing_200809final.pdf,
Guideline for Qualification & Management of Contract Quality Control Laboratories,合同质量控制实验室资质与管理指南,APIC Publication,23/10/2012,2012-10-23,https://apic.cefic.org/wp-content/uploads/2021/10/GuidelineSupplierQualification_ContractLabs10Jan2012.docx,https://apic.cefic.org/wp-content/uploads/2021/10/GuidelineSupplierQualification_ContractLabs10Jan2012.docx,
Quality Agreement for Laboratories,实验室质量协议,APIC Publication,23/10/2012,2012-10-23,https://apic.cefic.org/wp-content/uploads/2012/10/Quality-Agreement-Guideline-for-Laboratories-V1.0-April-2012.pdf,https://apic.cefic.org/wp-content/uploads/2012/10/Quality-Agreement-Guideline-for-Laboratories-V1.0-April-2012.pdf,
Quality Management System (QMS) for APIs,原料药质量管理体系（QMS）,APIC Publication,23/10/2005,2005-10-23,https://apic.cefic.org/wp-content/uploads/2021/10/191005_QMSforAPIsFinal.pdf,https://apic.cefic.org/wp-content/uploads/2021/10/191005_QMSforAPIsFinal.pdf,
Computer Validation Guide,计算机验证指南,APIC Publication,23/10/2002,2002-10-23,https://apic.cefic.org/wp-content/uploads/2021/10/compvalfinaldraftDecember2002.pdf,https://apic.cefic.org/wp-content/uploads/2021/10/compvalfinaldraftDecember2002.pdf,
