title,chinese_title,source_url,original_file_url,publish_date,category
Conducting Remote Regulatory Assessments Questions and Answers:  Guidance for Industry,开展远程监管评估问答：面向行业的指导,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/conducting-remote-regulatory-assessments-questions-and-answers,https://www.fda.gov/media/160173/download,2025-06-24,FDA Guidance
Processes and Practices Applicable to Bioresearch Monitoring Inspections: Draft Guidance for Industry,适用于生物研究监测检查的流程与实践：行业指南草案,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/processes-and-practices-applicable-bioresearch-monitoring-inspections,https://www.fda.gov/media/179027/download,2024-06-05,FDA Guidance
Considerations for Complying with 21 CFR 211.110,符合21 CFR 211.110的注意事项,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/considerations-complying-21-cfr-211110,https://www.fda.gov/media/184825/download,2025-01-06,FDA Guidance
Control of Nitrosamine Impurities in Human Drugs:  Guidance for Industry,人用药品中亚硝胺杂质的控制：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/control-nitrosamine-impurities-human-drugs,https://www.fda.gov/media/141720/download,2024-09-05,FDA Guidance
Remote Interactive Evaluations of Drug Manufacturing and Bioresearch Monitoring Facilities,药物生产和生物研究监测设施的远程互动评估,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/remote-interactive-evaluations-drug-manufacturing-and-bioresearch-monitoring-facilities,https://www.fda.gov/media/173286/download,2023-10-26,FDA Guidance
Policy for Testing of Alcohol (Ethanol) and Isopropyl Alcohol for Methanol:  Guidance for Industry,酒精（乙醇）和异丙醇中甲醇检测政策：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/policy-testing-alcohol-ethanol-and-isopropyl-alcohol-methanol,https://www.fda.gov/media/173005/download,2023-10-17,FDA Guidance
Alternative Tools: Assessing Drug Manufacturing Facilities Identified in Pending Applications,替代工具：评估待审申请中发现的药品生产设施,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/alternative-tools-assessing-drug-manufacturing-facilities-identified-pending-applications,https://www.fda.gov/media/172290/download,2023-09-22,FDA Guidance
Non-Penicillin Beta-Lactam Drugs:  A CGMP Framework for Preventing Cross-Contamination: Draft Guidance for Industry,非青霉素类β-内酰胺药物：防止交叉污染的CGMP框架：行业指南草案,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/non-penicillin-beta-lactam-drugs-cgmp-framework-preventing-cross-contamination-0,https://www.fda.gov/media/159358/download,2022-06-24,FDA Guidance
Risk Management Plans to Mitigate the Potential for Drug Shortages,风险管理计划以缓解潜在的药品短缺情况,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/risk-management-plans-mitigate-potential-drug-shortages,https://www.fda.gov/media/158487/download,2022-05-19,FDA Guidance
Investigating Out-of-Specification (OOS) Test Results for Pharmaceutical Production - Level 2 revision:  Guidance for Industry,药品生产中不合格（OOS）测试结果的调查 - 第2级修订版：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/investigating-out-specification-oos-test-results-pharmaceutical-production-level-2-revision,https://www.fda.gov/media/158416/download,2022-05-16,FDA Guidance
Collecting and Providing 702(b) Portions of FDA Official Samples: Draft Guidance for Industry,收集和提供FDA官方样品的702(b)部分：行业指南草案,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/collecting-and-providing-702b-portions-fda-official-samples,https://www.fda.gov/media/155621/download,2022-01-01,FDA Guidance
Field Alert Report Submission: Questions and Answers Guidance for Industry:  Guidance for Industry,现场警报报告提交：行业问答指南：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/field-alert-report-submission-questions-and-answers-guidance-industry,https://www.fda.gov/media/114549/download,2021-07-22,FDA Guidance
Expiration Dating of Unit-Dose Repackaged Solid Oral Dosage Form Drug Products:  Guidance for Industry,单剂量重新包装固体口服剂型药品的效期标注：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/expiration-dating-unit-dose-repackaged-solid-oral-dosage-form-drug-products,https://www.fda.gov/media/70985/download,2020-07-29,FDA Guidance
Current Good Manufacturing Practice—Guidance for Human Drug Compounding Outsourcing Facilities Under Section 503B of the FD&C Act Guidance for Industry: Draft Guidance for Industry,现行药品生产质量管理规范——《联邦食品、药品和化妆品法案》第503B节下人用药物分包外包机构指南 行业指南：行业指南草案,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/current-good-manufacturing-practice-guidance-human-drug-compounding-outsourcing-facilities-under,https://www.fda.gov/media/88905/download,2020-01-22,FDA Guidance
Data Integrity and Compliance With Drug CGMP: Questions and Answers:  Guidance for Industry,药品CGMP数据完整性和合规性：问答：行业指南,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/data-integrity-and-compliance-drug-cgmp-questions-and-answers,https://www.fda.gov/media/119267/download,2018-12-13,FDA Guidance
Questions and Answers on Current Good Manufacturing Practices for Drugs,药品现行良好生产规范问答,https://www.fda.gov/regulatory-information/search-fda-guidance-documents/questions-and-answers-current-good-manufacturing-practices-drugs,,2018-03-30,FDA Guidance
