category,title,chinese_title,publish_date,original_publish_date,source_url,cover_url,summary,chinese_summary
QMS SOP Template,Deviation Management,偏差管理,2025-07-01,July 2025,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964861,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964861.cover.jpg,"Deviation management is a critical component of the Quality Management System (QMS) and supports compliance with current Good Manufacturing Practices (cGMP) as outlined by regulatory authorities such as the US Food and Drug Administration (FDA), European Medicines Agency (EMA), and [...]",偏差管理是质量管理体系（QMS）的关键组成部分，有助于符合美国食品药品管理局（FDA）、欧洲药品管理局（EMA）等监管机构所制定的现行GMP要求，以及[...]
QMS SOP Template,Investigations,调查,2025-07-01,July 2025,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964878,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964878.cover.jpg,"Effective investigation processes are essential to identify root causes, assess product impact, implement corrective and preventive actions (CAPA), and ensure ongoing compliance with current Good Manufacturing Practices (cGMP) as required by global regulatory authorities, including the US Food and Drug [...]",有效的调查流程对于查明根本原因、评估产品影响、实施纠正和预防措施（CAPA），并确保持续符合全球监管机构要求的现行药品生产质量管理规范（cGMP），至关重要，这些机构包括美国食品药品[…]
QMS SOP Template,CAPA Management,CAPA 管理,2025-07-01,July 2025,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964885,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964885.cover.jpg,"Corrective Action and Preventive Action (CAPA) is a critical component of the Quality Management System (QMS) and is essential for ensuring compliance with regulatory requirements such as current Good Manufacturing Practices (cGMP), as well as maintaining safety, efficacy, and quality [...]",纠正与预防措施（CAPA）是质量管理体系（QMS）的关键组成部分，对于确保符合现行药品生产质量管理规范（cGMP）等法规要求，以及维持产品的安全性、有效性和质量至关重要……
QMS SOP TEMPLATE,Product Quality Complaints,产品质量投诉,2025-07-01,July 2025,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964892,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964892.cover.jpg,"Effective complaint handling is critical for maintaining product integrity, safeguarding patient safety, and driving continual improvement.This Standard Operating Procedure (SOP) includes a template that helps the user outline the process for receiving, documenting, evaluating, and resolving product quality complaints within [...]",有效的投诉处理对于维护产品完整性、保障患者安全以及推动持续改进至关重要。本标准操作规程（SOP）包含一个模板，可帮助用户概述接收、记录、评估和解决产品质量投诉的流程……
QMS SOP TEMPLATE,Out-of-Specification,不符合规格,2025-07-01,July 2025,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964908,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964908.cover.jpg,"This Standard Operating Procedure (SOP) template provides a structured approach for the identification, investigation, evaluation, and resolution of Out-of-Specification (OOS) results observed during pharmaceutical manufacturing and testing. The objective is to ensure that all OOS results, whether from in-process testing, [...]",本标准操作规程（SOP）模板提供了一种结构化的方法，用于识别、调查、评估和解决药品生产和检测过程中观察到的超标结果。其目的是确保所有超标结果，无论是来自过程中的检测，还是[...]
QMS SOP TEMPLATE,Product Recall Management,产品召回管理,2025-07-01,July 2025,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964915,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964915.cover.jpg,A pharmaceutical product recall Standard Operating Procedure (SOP) should align with several key regulatory requirements to not only ensure compliance but protect public health. While both the US Food and Drug Administration (FDA) and European Medicines Agency (EMA) share the [...],药品召回标准操作规程（SOP）应符合多项关键监管要求，以确保不仅合规，而且保护公众健康。尽管美国食品药品管理局（FDA）和欧洲药品管理局（EMA）都共享[...]
QMS SOP Template,Environmental Monitoring Excursions,环境监测考察,2025-07-01,July 2025,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964922,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964922.cover.jpg,"Effective management of Environmental Monitoring (EM) excursions supports contamination control strategies and promotes continual improvement in the pharmaceutical quality system.This Standard Operating Procedure (SOP) template defines the process for identifying, documenting, investigating, and addressing EM excursions within pharmaceutical manufacturing and [...]",有效管理环境监测（EM）异常情况，有助于污染控制策略，并推动制药质量体系的持续改进。本标准操作规程（SOP）模板明确了在药品生产和[…]过程中识别、记录、调查和处理EM异常情况的流程。
GAMP Guide,Artificial Intelligence,人工智能,2025-07-01,July 2025,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964854,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964854.cover.jpg,"Technological innovations in Artificial Intelligence (AI) provide new opportunities for the life sciences, and offer new ways to approach challenges in GxP regulated processes. While such approaches offer promising advancements, additional responsibilities are also introduced that require thoughtful decision-making to [...]",人工智能（AI）领域的技术创新为生命科学提供了新的机遇，也为解决GxP监管流程中的挑战提供了新途径。尽管这些方法带来了令人振奋的进展，但也引入了额外的责任，需要审慎决策以……
Good Practice Guide,Validation 4.0,验证4.0,2025-06-01,June 2025,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964847,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964847.cover.jpg,"The Validation 4.0 Guide provides a comprehensive approach to ensuring product quality and patient safety throughout a pharmaceutical product’s lifecycle. A Holistic Control Strategy (HCS) in this context means moving beyond traditional, static, upfront and localized validation controls to a [...]",验证4.0指南提供了一种全面的方法，以确保药品在整个生命周期中的产品质量和患者安全。在此背景下，整体控制策略（HCS）意味着超越传统的、静态的、事前的和局部的验证控制，转向一种[...]
Good Practice Guide,Digital Validation,数字化验证,2025-04-01,April 2025,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964830,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964830.cover.jpg,"This Guide considers how increased adoption of Digital Validation Tools (DVTs) in the life sciences industry can support a growing commitment to data integrity, operational efficiency, and regulatory compliance. However, the transition from traditional, paper-based validation to a digitally integrated [...]",本指南探讨了在生命科学行业中，更多地采用数字化验证工具（DVTs）如何助力企业日益增强对数据完整性、运营效率和法规遵从性的承诺。然而，从传统的纸质验证向数字化集成的过渡……
Good Practice Guide,SMEPAC – Standardized Methodology for the Evaluation of Pharmaceutical Airborne Particle Emissions from Containment Systems (Third Edition),SMEPAC – 封闭系统中药品空气传播颗粒物排放评估的标准化方法（第三版）,2024-12-01,December 2024,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964816,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964816.cover.jpg,"This Guide was originally titled ISPE Good Practice Guide: Assessing the Particulate Containment Performance of Pharmaceutical Equipment.As in previous editions, this Guide provides principles and standardized methodologies for evaluating the containment capability of equipment used in the pharmaceutical industry under [...]",本指南原名为ISPE GMP指南：评估制药设备的微粒控制性能。与前几版一样，本指南提供了评估制药行业所用设备在特定条件下[...]的控制能力的原则和标准化方法。
Good Practice Guide,Ozone Sanitization of Pharmaceutical Water Storage and Distribution Systems (Second Edition),制药用水储存与分配系统的臭氧消毒（第二版）,2024-10-01,October 2024,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964809,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964809.cover.jpg,This updated Guide offers comprehensive guidance on designing and operating pharmaceutical water storage and distribution systems that utilize ozone for sanitization. It outlines key principles for implementing an effective sanitization approach.Using ozone as the primary sanitizing agent in a pharmaceutical [...],本更新版指南提供了关于设计和运行采用臭氧消毒的制药用水储存与分配系统的全面指导，并概述了实施有效消毒方法的关键原则。在制药领域中，以臭氧作为主要消毒剂……
Good Practice Guide,"Heating, Ventilation, and Air Conditioning (Second Edition)",供暖、通风与空调（第二版）,2024-09-01,September 2024,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964793,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964793.cover.jpg,"Heating, Ventilation, and Air Conditioning (HVAC) systems can critically affect the ability of a pharmaceutical facility to meet its objective of providing a safe and effective product to the patient. The design of these systems requires a blend of Good [...]",供暖、通风与空调（HVAC）系统可显著影响制药厂实现其目标的能力，即为患者提供安全有效的产品。这些系统的设计需要结合良好的[...]
GAMP Good Practice Guide,Validation and Compliance of Computerized GCP Systems and Data – Good eClinical Practice (Second Edition),计算机化GCP系统与数据的验证及合规性——良好电子临床实践（第二版）,2024-07-01,July 2024,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964786,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964786.cover.jpg,"Advances in digital health, increased regulatory scrutiny, and the integration of new technologies such as artificial intelligence and new models such as decentralized trials have been accelerated by the COVID 19 pandemic. In light of this, the content of the [...]",数字健康领域的进步、监管审查的加强，以及人工智能等新技术和去中心化试验等新模式的融合，都因新冠疫情而加速发展。有鉴于此，[...]的内容
Good Practice Guide,Unique Identification of Glass Primary Containers in Pharmaceutical Fill and Finish Operations,药品灌装与分装作业中玻璃原包装容器的唯一标识,2024-05-01,May 2024,https://guidance-docs.ispe.org/doi/book/10.1002/9781946964762,https://gmp-guidelines.wen817.com/thumbnails/ispe/9781946964762.cover.jpg,"Many current challenges facing the pharmaceutical industry revolve around increasing product complexity, reduced batch sizes, and higher flexibility requirements, coupled with increased requirements for product traceability, both internally and by regulatory bodies. Additionally, as the industry moves toward a continuous [...]",当前制药行业面临的许多挑战，都围绕着产品复杂性增加、批量规模缩小以及更高的灵活性要求展开，同时对产品可追溯性的要求也在提高，这不仅体现在企业内部，也受到监管机构的密切关注。此外，随着行业向连续生产模式迈进……
