original_publish_date,chinese_title,cover_url,publish_date,source_url,title,category,chinese_summary,summary
Aug 2025,预售！药品监管检查（第3版）,https://pda.org/images/default-source/product-images/8414-pharmaceutical-regulatory-inspections.jpeg,2025-08-01,https://www.pda.org/bookstore/product-detail/8414-pharmaceutical-regulatory-inspections,Presale! Pharmaceutical Regulatory Inspections (3rd Edition),Books,**预售！完整书名将于2025年9月8日发布。**本书包含实用建议和深刻见解，帮助各类制药机构做好GMP检查准备，了解关键监管问题，并回顾检查机构的趋势与发现。本书对比分析了……,"**PRE-SALE! Full title will be released on  9/8/2025.**This book contains practical advice and insight to help  different types of pharmaceutical organisations prepare for GMP inspections,  understand key regulatory issues and review inspectorate trends and findings.  The book compares inspections by …"
Jun 2025,环境监测 第9卷,https://pda.org/images/default-source/product-images/8364-environmental-monitoring-volume-9.jpeg,2025-06-01,https://www.pda.org/bookstore/product-detail/8364-environmental-monitoring-volume-9,Environmental Monitoring Volume 9,Books,硬拷贝可在Euromed Communications网站上购买。环境监测系列第9卷深入介绍了建立环境监测计划的方法学。该书共有18个章节，由这一领域的顶尖专家撰写。最新一…,Hardcopies are available for purchase  on the Euromed Communications website.Volume 9 of the Environmental Monitoring series provides  insight on methodologies for establishing an environmental monitoring program.  There are a total of 18 chapters authored by leading experts in this area. This  latest …
Jun 2025,PDA调查：2025年运输验证基准调查,https://pda.org/images/default-source/product-images/8363-pda-survey-2025-transportation-validation.jpeg,2025-06-01,https://www.pda.org/bookstore/product-detail/8363-pda-survey-2025-transportation-validation,PDA Survey: 2025 Transportation Validation Benchmarking Survey,Surveys,本次调查旨在收集制药和生物制药行业在运输资质策略方面的行业基准数据。具体而言，目标是研究模拟数据的应用，以更好地了解运输条件如何影响药品……,"This survey aimed to gather industry  benchmarking data on transportation qualification strategies within the  pharmaceutical and biopharmaceutical industry. Specifically, the goal was to  examine the application of simulated data to better understand how  transportation conditions impact drug product …"
Jun 2025,注意事项第12号：限制性通道系统,https://pda.org/images/default-source/product-images/8350-points-to-consider-no-12.jpeg,2025-06-01,https://www.pda.org/bookstore/product-detail/8350-points-to-consider-no-12,Points to Consider No. 12: Restricted Access Barrier Systems,Technical Reports,本《注意事项》文件代表了注射剂协会（PDA）的观点。该文件旨在传达PDA对无菌工艺中受限式隔离系统的设计、操作和使用的相关思考与考量，以及受控的……,"This Points to Consider document  represents the views of the Parenteral Drug Association (PDA). The document is  designed to communicate PDA’s thoughts and considerations pertaining to the  design, operation, and use of Restricted Access Barrier Systems (RABS) for  aseptic processing, processes subjected …"
Feb 2025,PDA/ANSI标准06-2025：质量文化评估指南文件、模型和工具,https://pda.org/images/default-source/product-images/8259-pda-ansi-standard-06-2025.jpeg,2025-02-01,https://www.pda.org/bookstore/product-detail/8259-pda-ansi-standard-06-2025,"PDA/ANSI Standard 06-2025: Assessment of Quality Culture Guidance Documents, Models, and Tools",Standards,该美国国家标准（ANS）评估了多种指导文件、模型和工具，以衡量并更好地理解制药/医疗器械行业的质量文化。该标准确定了5个关键关注主题，并明确了其属性、特征和衡量方法……,"This American National Standard (ANS) evaluates various guidance documents, models, and tools to measure and  provide a better understanding of quality culture for the pharmaceutical/medical  device industry. The standard identifies 5 key focus topics with attributes,  characteristics, and measurements …"
Feb 2025,PDA/ANSI标准03-2025：无菌工艺质量风险管理标准实践,https://pda.org/images/default-source/product-images/8231-ansi-pda-standard-03-2025.jpeg,2025-02-01,https://www.pda.org/bookstore/product-detail/8231-ansi-pda-standard-03-2025,PDA/ANSI Standard 03-2025: Standard Practice for Quality Risk Management of Aseptic Processes,Standards,**8月书店促销！全场8折！标价已包含常规价格的折扣。** 本标准提供了一种生命周期方法，通过全面评估污染控制系统，旨在最大限度地减少和/或防止无菌加工过程中的污染，从而最终确保安全性……,**August Bookstore Sale! 25% off!Price shown  reflects discount from regular  price.** This standard provides a lifecycle approach using a  holistic evaluation of contamination control systems designed to minimize and/or  prevent contamination during aseptic processing and ultimately ensure the safety …
Feb 2025,注意事项第11号：ATMP生产中所用质粒和载体的开发、分类、制造、控制与检测,https://pda.org/images/default-source/pda-updates/points-to-consider-no-11-.jpeg,2025-02-01,https://www.pda.org/bookstore/product-detail/8228-points-to-consider-no-11,"Points to Consider No. 11:  Development, Classification, Manufacture, Control, and Testing of Plasmids and Vectors Used in ATMP Production​",Technical Reports,本《注意事项》文件重点关注病毒载体在治疗性基因递送中的应用，包括体内递送以及体外修饰，这属于ATMPs的总体分类范畴。所涉及的主题多样，涵盖质粒和病毒载体的分类与控制、质量……,"This Points to Consider document is focused on the use of  viral vectors for delivery of a therapeutic gene, both in vivo and for ex vivo  modification within the overall classification of ATMPs. The topics addressed  are diverse and include plasmid and viral vector categorization and control,  quality …"
Feb 2025,质量风险管理：实用指南,https://pda.org/images/default-source/product-images/8205-quality-risk-management-a-practical-guide.jpeg,2025-02-01,https://www.pda.org/bookstore/product-detail/8205-quality-risk-management-a-practical-guide,Quality Risk Management: A Practical Guide,Books,硬拷贝可在Euromed Communications网站上购买。自2005年首份《质量风险管理》（ICH Q9）指南发布，以及詹姆斯·维斯珀于2006年出版的《制药行业的风险评估与风险管理：清晰而简单》一书以来，制药……,"Hardcopies are available for purchase  at the Euromed Communications website. Since the publication of the first Quality Risk Management  (ICH Q9) guideline in 2005 and the Risk Assessment and Risk Management in the  Pharmaceutical Industry: Clear and Simple book by James Vesper in 2006, the  pharmaceutical …"
Jan 2025,PDA调查：2024年PDA附录1实施一周年调查,https://pda.org/images/default-source/product-images/8160-2024-pda-annex-1-one-year-into-implementation.jpeg,2025-01-01,https://www.pda.org/bookstore/product-detail/8160-2024-pda-annex-1-one-year-into-implementation,PDA Survey: 2024 PDA Annex 1: One Year into Implementation Survey,Surveys,2015年2月，欧洲药品管理局（EMA）与药品检查公约/药品检查合作计划（PIC/S）联合发布了关于修订《欧盟人用和兽用药品GMP指南》的概念文件……,In February 2015 the European Medicines Agency (EMA) and the  Pharmaceutical Inspection Convention/Pharmaceutical Inspection Co-operation  Scheme (PIC/S) jointly issued a Concept Paper on the revision of the EU  Guidelines for Good Manufacturing Practice for Medicinal Products for Human and  Veterinary …
Dec 1752,PDA调查：欧盟新版GMP附录1的实施情况及屏障系统实施情况调查,https://pda.org/images/default-source/product-images/8010-pda-survey-implementation-of-new-eu-annex-1.jpeg,1752-12-01,https://www.pda.org/bookstore/product-detail/8010-pda-survey-implementation-of-new-eu-annex-1,PDA Survey: Implementation of the New EU GMP Annex 1 and Implementation of Barrier Systems Survey,Surveys,本次调查旨在收集有关欧盟新版GMP附录1及屏障系统实施情况的信息。这是一项盲法调查。调查于2023年7月19日启动，至2023年8月11日结束。在受访者仅完成第一部分的情况下……,This survey was conducted to gather information on the  implementation of the new EU GMP Annex 1 and implementation                           of barrier systems. This was a blinded survey. The Survey opened on 19 July 2023 and closed on 11 Aug 2023.  In cases where a respondent only completed the first …
