title,chinese_title,category,original_publish_date,publish_date,summary,chinese_summary,original_file_url,source_url
TRS 1060 - Annex 6: Guideline on bioanalytical method validation and study sample analysis,生物分析方法验证与研究样品分析指南,Development,15 April 2025,2025-04-15,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/regulatory-standards/annex-6_guideline-on-bioanalytical-method-validation-and-study-sample-analysis.pdf?sfvrsn=4fc96250_3&download=true,https://www.who.int/publications/m/item/trs-1060---annex-6--guideline-on-bioanalytical-method-validation-and-study-sample-analysis
TRS 970 - Annex 3: Pharmaceutical development of multisource (generic) finished pharmaceutical products: points to consider,多源（仿制）成品药的药品开发：需考虑的要点,Development,30 October 2012,2012-10-30,,,https://cdn.who.int/media/docs/default-source/medicines/annex3trs-970.pdf?sfvrsn=4cb3b2ec_7&download=true,https://www.who.int/publications/m/item/pharmaceutical-development-of-multisource-(generic)
TRS 970 - Annex 5: Development of paediatric medicines: points to consider in formulation,儿科药物的开发：制剂中需考虑的要点,Development,31 December 2011,2011-12-31,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/trs970/annex5trs-970.pdf?sfvrsn=699cdb68_8&download=true,https://www.who.int/publications/m/item/trs970-annex-5-development-of-paediatric-medicines-points-to-consider-in-formulation
TRS 1060 - Annex 4: Good practices for blood establishments,血液机构的良好实践,Production,15 April 2025,2025-04-15,This document is intended to provide guidance to blood establishment managers and staff on ensuring the quality and safety of blood and blood components for transfusion and plasma for further industrial fractionation.,本文旨在为血液机构的管理者和工作人员提供指导，以确保用于输注的血液和血液成分以及用于进一步工业分离的血浆的质量和安全。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/annex-4_good-practices-for-blood-establishments.pdf?sfvrsn=a5cbb34c_5&download=true,https://www.who.int/publications/m/item/trs-1060---annex-4--good-practices-for-blood-establishments
TRS 1060 - Annex 3: WHO good manufacturing practices for excipients used in pharmaceutical products,WHO药品用辅料的GMP,Production,15 April 2025,2025-04-15,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/annex-3_who-good-manufacturing-practices-for-excipients-used-in-pharmaceutical-products.pdf?sfvrsn=44922c56_3&download=true,https://www.who.int/publications/m/item/trs-1060---annex-3--who-good-manufacturing-practices-for-excipients-used-in-pharmaceutical-products
TRS 1060 - Annex 2: WHO good practice considerations for the prevention and control of nitrosamines in pharmaceutical products,WHO关于药品中亚硝胺类物质预防与控制的GMP考虑因素,Production,15 April 2025,2025-04-15,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/annex-2_who-good-practice-considerations-for-the-prevention-and-control-of-nitrosamines-in-pharmaceutical-products.pdf?sfvrsn=fac9d7d8_5&download=true,https://www.who.int/publications/m/item/trs-1060---annex-2--who-good-practice-considerations-for-the-prevention-and-control-of-nitrosamines-in-pharmaceutical-products
TRS 1052 - Annex 3: IAEA/WHO good manufacturing practices for in house cold kits for radiopharmaceutical preparations,国际原子能机构/WHO 用于放射性药物制剂室内冷藏试剂盒的GMP,Production,26 April 2024,2024-04-26,This text has been developed in alignment with the International Atomic Energy Agency and World Health Organization guideline on good manufacturing practices for radiopharmaceutical products (1) and IAEA/WHO guideline on good manufacturing practices for investigational radiopharmaceutical products (2).,本文根据国际原子能机构和世界卫生组织关于放射性药物产品GMP的指南（1），以及IAEA/WHO关于研究用放射性药物产品GMP的指南（2）制定。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/trs1052_annex3.pdf?sfvrsn=67707539_4&download=true,https://www.who.int/publications/m/item/trs-1052---annex-3--iaea-who-good-manufacturing-practices-for-in-house-cold-kits-for-radiopharmaceutical-preparations
TRS 1052 - Annex 2: WHO good manufacturing practices for excipients used in pharmaceutical products,WHO药品中使用的辅料GMP,Production,26 April 2024,2024-04-26,,,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/trs1052_annex2.pdf?sfvrsn=4729bcf0_6&download=true,https://www.who.int/publications/m/item/trs-1052---annex-2--who-good-manufacturing-practices-for-excipients-used-in-pharmaceutical-products
TRS 1044 - Annex 5: WHO good manufacturing practices for medicinal gases,WHO药品气体GMP,Production,14 November 2022,2022-11-14,"Arising from an increased demand for medicinal gases, in particular the  use of oxygen in the treatment of patients with coronavirus disease 2019  (COVID-19), the World Health Organization (WHO) Health Products  Policy and Standards Department (formerly Essential Medicines and Health  Products) and other departments involved in the supply of oxygen and the  inspection of production sites of medicinal gases raised the urgency for the  preparation of the WHO good manufacturing practices for medicinal gases  guidance text.",鉴于对医用气体需求的增加，尤其是氧气在2019冠状病毒病（COVID-19）患者治疗中的广泛应用，世界卫生组织（WHO）卫生产品政策与标准司（原基本药物与卫生产品司）及其他参与氧气供应和医用气体生产场所检查的部门，迫切需要编制《WHO医用气体良好生产规范指导文件》。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/trs1044-annex5-good-manufacturing-practices-for-medicinal-gases.pdf?sfvrsn=d273977a_1&download=true,https://www.who.int/publications/m/item/trs1044-annex5
TRS 1044 - Annex 2: WHO good manufacturing practices for sterile pharmaceutical products,WHO 的无菌药品 GMP,Production,31 October 2022,2022-10-31,"This document is a revision of WHO good manufacturing practices for sterile  pharmaceutical products, previously published in the WHO Technical Report  Series, No. 961, Annex 6, 2011.1   The revision was done in collaboration with  the European Union and the Pharmaceutical Inspection Co-operation Scheme  (PIC/S). The harmonized text will benefit the national regulatory authorities  and manufacturers and save resources, thus improving patients’ access to quality  medicines.",本文是对世界卫生组织（WHO）无菌药品GMP的修订版，该版本曾于2011年发表在WHO技术报告系列第961号文件的附件6中。此次修订工作由欧洲联盟与药品检查合作计划（PIC/S）共同完成。统一后的文本将惠及各国监管机构和生产企业，并有助于节约资源，从而提高患者获得优质药品的机会。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/trs1044-annex-2-gmp-for-sterile-pharmaceutical-products.pdf?sfvrsn=d924ed65_1&download=true,https://www.who.int/publications/m/item/trs1044-annex2
TRS 1044 - Annex 6: WHO good practices for research and development facilities of pharmaceutical products,WHO药品研发机构的GMP良好规范,Production,30 September 2022,2022-09-30,"This annex contains the World Health Organization (WHO) and United Nations  Population Fund (UNFPA) technical specification for TCu380A intrauterine  device (IUD), which is suitable for bulk procurement of the TCu380A IUD for  use in public sector programmes for family planning.",本附件包含世界卫生组织（WHO）和联合国人口基金（UNFPA）针对TCu380A宫内节育器（IUD）的技术规范，该规范适用于公共部门计划生育项目的TCu380A IUD批量采购。,https://cdn.who.int/media/docs/default-source/medicines/norms-and-standards/guidelines/production/trs1044-annex6-good-practices-for-research-and-dev-facilities-of-pharmaceutical-products.pdf?sfvrsn=e50d092f_3&download=true,https://www.who.int/publications/m/item/trs1044-annex6
